microorganismo,antibiotico,s_cim,i_cim,r_cim,diametro_s_mm,diametro_i_mm,diametro_r_mm,notas
Enterobacterales,Ampicilina iv1,8,-,>8,14A,-,<14A,"1. Para obter informações sobre como implementar os novos pontos de corte de aminopenicilinas, consultar https://www.eucast.org/eucastguidancedocuments/.
2. Para fins de teste de sensibilidade, a concentração de sulbactam é fixada em 4 mg/L.
3/D. Para obter informações sobre como usar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/.
4. Para fins de teste de sensibilidade, a concentração de ácido clavulânico é fixada em 2 mg/L.
5. Para fins de teste de sensibilidade, a concentração de tazobactam é fixada em 4 mg/L.

A. Ignorar o crescimento que pode aparecer como um halo interno fino em alguns lotes de ágar Mueller-Hinton.
B. Sensibilidade inferida da ampicilina (iv ou oral).
C. Isolados Sensíveis à ampicilina (iv ou oral) podem ser reportados como ""Sensível, aumentando exposição"" (I) à ""amoxicilina oral (infecções com origem no trato urinário)"". Isolados Resistentes à ampicilina (iv ou oral) podem ser reportados como Resistentes à ""amoxicilina oral (infecções com origem no trato urinário)"".
E. Isolados sensíveis à ampicilina não apresentam mecanismos de resistência fenotipicamente detectáveis ​​e ""amoxicilina oral (outras indicações)"" pode ser usada em alta exposição em terapia combinada (ver Nota 3/D). Isolados resistentes à ampicilina podem ser reportados como resistentes à amoxicilina oral (outras indicações)."
Enterobacterales,Ampicilina oral (exclusivamente infecção urinária [ITU] não complicada)1,8,-,>8,14A,-,<14A,
Enterobacterales,Ampicilina-sulbactam iv1,82,-,>82,14A,-,<14A,
Enterobacterales,Ampicilina-sulbactam oral (exclusivamente ITU não complicada)1,82,-,>82,14A,-,<14A,
Enterobacterales,Amoxicilina iv1,8,-,>8,NotaB,NotaB,NotaB,
Enterobacterales,Amoxicilina oral (infecções com origem no trato urinário)1,"0,001","0,002-8",>8,NotaC,NotaC,NotaC,
Enterobacterales,Amoxicilina oral (exclusivamente ITU não complicada)1,8,-,>8,NotaB,NotaB,NotaB,
Enterobacterales,Amoxicilina oral (outras indicações)1,"(0,001)3","(0,002-8)3",(>8)3,"NotaD,E","NotaD,E","NotaD,E",
Enterobacterales,Amoxicilina-ácido clavulânico iv1,84,-,>84,19A,-,<19A,
Enterobacterales,Amoxicilina-ácido clavulânico oral (infecções com origem no trato urinário)1,"0,0014","0,002-84",>84,50A,19-49A,<19A,
Enterobacterales,Amoxicilina-ácido clavulânico oral (exclusivamente ITU não complicada),324,-,>324,16A,-,<16A,
Enterobacterales,Amoxicilina-ácido clavulânico oral (outras indicações)1,"(0,001)3,4","(0,002-8)3,4","(>8)3,4","(50)A,D","(19-49)A,D","(<19)A,D",
Enterobacterales,Piperacilina-tazobactam,85,-,>85,20,-,<20,
Enterobacterales,"Temocilina (infecções com origem no trato urinário), E. coli, Klebsiella spp. (exceto K. aerogenes) e P. mirabilis","0,001","0,002-16",>16,50F,17-49F,<17F,
Enterobacterales,Enterobacterales,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterobacterales,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterobacterales,Cefalosporinas1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterobacterales,Cefaclor (exclusivamente ITU não complicada),EI,EI,EI,EI,EI,EI,"1. Os pontos de corte de cefalosporinas para Enterobacterales permitem detectar todos os mecanismos de resistência clinicamente relevantes (incluindo ESBL e AmpC mediada por plasmídeos). Alguns isolados produtores de β-lactamases são sensíveis (S ou I) às cefalosporinas de 3ª ou 4ª gerações, considerando-se estes pontos de corte, e devem ser reportados de acordo com o resultado do teste, ou seja, a presença ou ausência de ESBL não influencia na categorização da sensibilidade. A detecção e caracterização de ESBL são recomendadas para fins de saúde pública e controle de infecções. 
2/A. Isolados sensíveis à cefadroxila e/ou cefalexina podem ser reportados como ""sensível, aumentando exposição"" (I) para cefazolina.
3. Para fins de testes de sensibilidade, a concentração de enmetazobactam é fixada em 8 mg/L. 
4. A determinação da CIM por microdiluição deve ser realizada com caldo Mueller-Hinton sem ferro e as instruções de leitura específicas devem ser seguidas. Para condições de teste e instruções de leitura, consultar http://www.eucast.org/eucastguidancedocuments/."
Enterobacterales,"Cefadroxila 
(exclusivamente ITU não complicada)",16,-,>16,12,-,<12,
Enterobacterales,"Cefalexina
(exclusivamente ITU não complicada)",16,-,>16,14,-,<14,
Enterobacterales,"Cefazolina  (infecções com origem no trato urinário),  E. coli e Klebsiella spp. (exceto K. aerogenes)","0,0012","0,002-42",>42,50A,20-49A,<20A,
Enterobacterales,Cefepima,1,2-4,>4,27,24-26,<24,
Enterobacterales,Cefepima-enmetazobactam,43,-,>43,22,-,22,
Enterobacterales,Cefiderocol,24,-,>24,23,-,<23,
Enterobacterales,Cefotaxima (infecções não meníngeas),1,2,>2,20,17-19,<17,"5. O ECOFF (8 mg/L) de cefoxitina apresenta alta sensibilidade, porém baixa especificidade para a identificação de  Enterobacterales produtoras de AmpC, uma vez que este fármaco é afetado também por alterações de permeabilidade e algumas carbapenemases. Isolados classicamente não produtores de AmpC têm perfil selvagem, enquanto os produtores de AmpCs plasmidiais ou hiperprodutores de AmpC cromossômica têm perfil não selvagem."
Enterobacterales,Cefotaxima (meningite),1,-,>1,20,-,<20,
Enterobacterales,Cefoxitina (exclusivamente triagem)5,Nota5,Nota5,Nota5,19,-,<19,
Enterobacterales,"Cefpodoxima 
(exclusivamente ITU não complicada)",1,-,>1,21,-,<21,
Enterobacterales,Ceftarolina,"0,5",-,">0,5",23,-,<23,"6. Para fins de testes de sensibilidade, a concentração de avibactam é fixada em 4 mg/L."
Enterobacterales,Ceftazidima,1,2-4,>4,22,19-21,<19,7. Ver tabela de dosagens para doses para diferentes indicações.
Enterobacterales,Ceftazidima-avibactam,86,-,>86,13,-,<13,"8. Para fins de testes de sensibilidade, a concentração de tazobactam é fixada em 4 mg/L."
Enterobacterales,Ceftolozana-tazobactam7,28,-,>28,22,-,<22,
Enterobacterales,Ceftriaxona (infecções não meníngeas),1,2,>2,27,24-26,<24,
Enterobacterales,Ceftriaxona (meningite),1,-,>1,27,-,<27,
Enterobacterales,"Cefuroxima IV, E. coli, Klebsiella spp. (exceto K. aerogenes ), Raoultella spp. e P. mirabilis","0,001","0,002-8",>8,50,19-49,<19,
Enterobacterales,"Cefuroxima oral (exclusivamente ITU não complicada), E. coli, Klebsiella spp. (exceto K. aerogenes), Raoultella spp. e P. mirabilis",8,-,>8,19,-,<19,
Enterobacterales,Enterobacterales,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterobacterales,Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
